account_id,snapshot_date,usage_count_last_1m,usage_duration_last_1m,error_count_last_1m,active_features_last_1m,usage_count_last_3m,usage_duration_last_3m,error_count_last_3m,active_features_last_3m,usage_count_last_6m,usage_duration_last_6m,error_count_last_6m,active_features_last_6m,usage_trend_3m,usage_trend_pct_3m,error_trend_3m,active_features_drop_3m
A-019782,2023-11-30,15,3823,0,2,34,4716,1,2,172,37026,7,13,5.5,0.15714285714285714,-0.5,0
A-029f69,2024-06-30,10,2330,0,1,138,37660,4,7,356,111998,24,17,-54.0,-0.38848920863309355,-2.0,-6
A-029f69,2024-07-31,46,17994,4,3,156,46966,8,8,302,89770,28,16,-9.0,-0.05732484076433121,2.0,-5
A-029f69,2024-08-31,70,12354,2,4,126,32678,6,8,326,94000,26,18,42.0,0.33070866141732286,0.0,-4
A-029f69,2024-09-30,102,41584,4,4,218,71932,10,10,356,109592,14,17,44.0,0.2009132420091324,1.0,-6
A-029f69,2024-10-31,11,1606,3,1,97,28575,6,7,175,52058,10,15,-32.0,-0.32653061224489793,1.5,-6
A-029f69,2024-11-30,5,90,0,1,67,22488,5,6,130,38827,8,12,-26.0,-0.38235294117647056,-2.5,-5
A-02fac6,2023-11-30,56,20719,3,6,125,32628,12,11,162,44634,15,14,21.5,0.17063492063492064,-1.5,-5
A-02fac6,2023-12-31,20,3604,3,3,127,33139,12,13,169,47796,18,16,-33.5,-0.26171875,-1.5,-10
A-02fac6,2024-01-31,17,3987,3,2,93,28310,9,10,176,45813,20,17,-21.0,-0.22340425531914893,0.0,-8
A-02fac6,2024-02-29,19,5494,2,3,56,13085,8,7,181,45713,20,17,0.5,0.008771929824561403,-1.0,-4
A-02fac6,2024-03-31,26,11464,2,2,62,20945,7,7,189,54084,19,17,8.0,0.12698412698412698,-0.5,-5
A-02fac6,2024-04-30,9,2097,0,1,54,19055,4,6,147,47365,13,16,-13.5,-0.24545454545454545,-2.0,-5
A-02fac6,2024-05-31,23,5964,0,2,58,19525,2,5,114,32610,10,12,5.5,0.09322033898305085,-1.0,-3
A-02fac6,2024-06-30,12,4140,1,1,44,12201,1,4,106,33146,8,11,-4.0,-0.08888888888888889,1.0,-3
A-02fac6,2024-07-31,22,8630,0,2,57,18734,1,5,111,37789,5,10,4.5,0.07758620689655173,-0.5,-3
A-034368,2024-04-30,23,9517,4,3,23,9517,4,3,57,18689,5,6,23.0,0.9583333333333334,4.0,0
A-034368,2024-07-31,25,5993,4,3,25,5993,4,3,48,15510,8,6,25.0,0.9615384615384616,4.0,0
A-038089,2024-08-31,54,13722,0,2,54,13722,0,2,126,35936,2,5,54.0,0.9818181818181818,0.0,0
A-038089,2024-09-30,12,6084,0,1,66,19806,0,3,138,42020,2,6,-15.0,-0.22388059701492538,0.0,-2
A-038089,2024-11-30,9,2826,0,1,15,5868,0,2,42,12729,0,4,6.0,0.375,0.0,-1
A-054577,2024-07-31,17,4890,0,2,60,16913,4,5,189,54169,18,17,-4.5,-0.07377049180327869,-2.0,-3
A-054577,2024-09-30,6,2868,0,1,23,7758,0,3,120,30566,10,10,-2.5,-0.10416666666666667,0.0,-2
A-054577,2024-11-30,40,15152,0,4,46,18020,0,5,63,22910,0,7,37.0,0.7872340425531915,0.0,-1
A-054577,2024-12-31,60,21580,4,5,100,36732,4,9,123,44490,4,12,40.0,0.39603960396039606,4.0,-4
A-05d3b3,2023-10-31,126,40862,2,5,126,40862,2,5,216,73010,2,9,126.0,0.9921259842519685,2.0,0
A-05d3b3,2023-11-30,76,24040,0,4,202,64902,2,8,276,88586,2,11,13.0,0.06403940886699508,-1.0,-4
A-05d3b3,2023-12-31,106,12122,4,4,308,77024,6,11,366,95860,6,13,5.0,0.016181229773462782,3.0,-7
A-05d3b3,2024-01-31,78,26080,6,4,260,62242,10,9,386,103104,12,13,-13.0,-0.04980842911877394,4.0,-5
A-05d3b3,2024-02-29,82,27388,6,3,266,65590,16,9,468,130492,18,15,-10.0,-0.03745318352059925,1.0,-6
A-05d3b3,2024-03-31,22,7089,4,3,102,33823,10,9,256,72335,13,17,-18.0,-0.17475728155339806,1.0,-6
A-05d3b3,2024-04-30,27,6434,0,2,90,27217,7,8,220,58338,12,16,-4.5,-0.04945054945054945,-3.5,-6
A-05d3b3,2024-05-31,39,14884,3,4,88,28407,7,9,221,61202,15,17,14.5,0.16292134831460675,1.0,-5
A-05d3b3,2024-06-30,25,2166,0,3,91,23484,3,8,193,57307,13,16,-8.0,-0.08695652173913043,-1.5,-5
A-05d3b3,2024-07-31,41,15557,2,5,105,32607,5,11,195,59824,12,18,9.0,0.08490566037735849,0.5,-6
A-05d3b3,2024-08-31,24,10364,0,2,90,28087,2,8,178,56494,9,16,-9.0,-0.0989010989010989,-1.0,-6
A-05f0e5,2023-07-31,16,464,0,1,112,26638,16,6,322,90014,26,13,-32.0,-0.2831858407079646,-8.0,-5
A-05f0e5,2023-08-31,86,21096,0,5,162,35862,12,8,396,107534,26,16,48.0,0.294478527607362,-6.0,-3
A-05f0e5,2023-10-31,68,7720,6,3,154,28816,6,8,266,55454,22,12,25.0,0.16129032258064516,6.0,-5
A-05f0e5,2023-11-30,20,7220,0,1,88,14940,6,4,250,50802,18,10,-14.0,-0.15730337078651685,-3.0,-3
A-05f0e5,2023-12-31,74,19322,14,3,162,34262,20,7,264,55822,20,12,30.0,0.18404907975460122,11.0,-4
A-05f0e5,2024-01-31,10,980,2,1,57,14251,9,4,134,28659,12,11,-13.5,-0.23275862068965517,-1.5,-3
A-05f0e5,2024-02-29,51,20166,2,4,98,30807,11,7,142,38277,14,11,27.5,0.2777777777777778,-2.5,-3
A-05f0e5,2024-03-31,15,1282,0,2,76,22428,4,7,157,39559,14,12,-15.5,-0.2012987012987013,-2.0,-5
A-05f0e5,2024-04-30,8,3464,0,1,74,24912,2,7,131,39163,11,10,-25.0,-0.3333333333333333,-1.0,-6
A-05f0e5,2024-05-31,33,12013,0,2,56,16759,0,4,154,47566,11,9,21.5,0.37719298245614036,0.0,-2
A-05f0e5,2024-06-30,34,15047,3,3,75,30524,3,6,151,52952,7,11,13.5,0.17763157894736842,3.0,-3
A-05f0e5,2024-07-31,47,11554,0,4,114,38614,3,9,188,63526,5,14,13.5,0.11739130434782609,-1.5,-5
A-05f0e5,2024-08-31,6,978,0,1,87,27579,3,8,143,44338,3,11,-34.5,-0.39204545454545453,-1.5,-7
A-05f0e5,2024-09-30,14,6174,1,2,67,18706,1,7,142,49230,4,13,-12.5,-0.18382352941176472,1.0,-5
A-05f0e5,2024-10-31,33,12699,0,3,53,19851,1,6,167,58465,4,15,23.0,0.42592592592592593,-0.5,-3
A-0651a4,2024-11-30,43,13277,5,3,111,27970,9,8,199,53851,10,14,9.0,0.08035714285714286,3.0,-5
A-068fc6,2023-11-30,9,3573,0,1,73,15233,5,7,196,51373,10,17,-23.0,-0.3108108108108108,-2.5,-6
A-068fc6,2024-01-31,49,20415,2,4,58,23988,2,5,155,45960,8,14,44.5,0.7542372881355932,2.0,-1
A-068fc6,2024-02-29,26,10260,1,3,75,30675,3,7,148,45908,8,14,1.5,0.019736842105263157,0.0,-4
A-068fc6,2024-03-31,15,4095,0,2,90,34770,3,8,143,46555,6,14,-22.5,-0.24725274725274726,-1.5,-6
A-068fc6,2024-04-30,44,13902,2,4,85,28257,3,9,143,52245,5,13,23.5,0.27325581395348836,1.5,-5
A-068fc6,2024-05-31,8,3104,0,1,67,21101,2,7,142,51776,5,13,-21.5,-0.3161764705882353,-1.0,-6
A-068fc6,2024-06-30,28,2436,1,2,80,19442,3,6,170,54212,6,14,2.0,0.024691358024691357,0.0,-4
A-068fc6,2024-07-31,13,5993,2,1,49,11533,3,4,134,39790,6,12,-5.0,-0.1,1.5,-3
A-068fc6,2024-08-31,41,21368,6,4,82,29797,9,6,149,50898,11,12,20.5,0.2469879518072289,4.5,-2
A-068fc6,2024-09-30,36,12448,2,4,90,39809,10,8,170,59251,13,12,9.0,0.0989010989010989,-2.0,-4
A-068fc6,2024-11-30,12,1044,0,1,48,13492,2,5,130,43289,11,10,-6.0,-0.12244897959183673,-1.0,-4
A-068fc6,2024-12-31,61,17227,2,5,73,18271,2,6,163,58080,12,13,55.0,0.7432432432432432,2.0,-1
A-075038,2023-08-31,47,15938,4,5,56,18773,4,5,140,38598,7,11,42.5,0.7456140350877193,4.0,0
A-075038,2023-09-30,46,10442,3,4,102,29215,7,9,162,46880,10,11,18.0,0.17475728155339806,1.0,-5
A-075038,2023-10-31,10,480,0,1,103,26860,7,9,122,32765,7,9,-36.5,-0.35096153846153844,-3.5,-8
A-075038,2023-11-30,39,19581,0,4,95,30503,3,8,151,49276,7,12,11.0,0.11458333333333333,-1.5,-4
A-075038,2023-12-31,35,8758,0,3,84,28819,0,8,186,58034,7,14,10.5,0.12352941176470589,0.0,-5
A-075038,2024-01-31,40,11533,6,3,114,39872,6,9,217,66732,13,15,3.0,0.02608695652173913,6.0,-6
A-075038,2024-02-29,45,5194,1,3,120,25485,7,9,215,55988,10,14,7.5,0.06198347107438017,-2.0,-6
A-075038,2024-03-31,19,10726,0,2,104,27453,7,8,188,56272,7,14,-23.5,-0.22380952380952382,-3.5,-6
A-075038,2024-04-30,10,2630,0,1,74,18550,1,6,188,58422,7,15,-22.0,-0.29333333333333333,-0.5,-5
A-075038,2024-05-31,9,5139,0,1,38,18495,0,4,158,43980,7,13,-5.5,-0.14102564102564102,0.0,-3
A-075038,2024-06-30,25,1281,2,3,44,9050,2,5,148,36503,9,13,15.5,0.34444444444444444,2.0,-2
A-075038,2024-07-31,21,8829,0,2,55,15249,2,6,129,33799,3,11,4.0,0.07142857142857142,-1.0,-4
A-075038,2024-08-31,82,29532,4,8,128,39642,6,10,166,58137,6,13,59.0,0.4573643410852713,3.0,-2
A-089363,2023-07-31,12,1140,5,2,50,15941,9,5,117,35472,12,12,-7.0,-0.13725490196078433,3.0,-3
A-089363,2023-08-31,33,9461,1,3,72,19880,7,8,117,35090,11,10,13.5,0.18493150684931506,-2.0,-5
A-089363,2023-09-30,14,1064,0,1,59,11665,6,5,123,34330,11,10,-8.5,-0.14166666666666666,-3.0,-4
A-089363,2023-10-31,66,14178,3,6,113,24703,4,9,163,40644,13,12,42.5,0.37280701754385964,2.5,-3
A-08e34e,2024-07-31,73,21142,0,6,93,30176,3,8,115,38213,4,11,63.0,0.6702127659574468,-1.5,-2
A-08e34e,2024-08-31,26,5546,2,3,119,35722,5,10,133,40559,5,11,-20.5,-0.17083333333333334,0.5,-7
A-09316c,2024-11-30,16,5888,3,2,26,8758,5,3,89,25622,7,9,11.0,0.4074074074074074,2.0,-1
A-098560,2024-01-31,18,9540,0,1,88,34322,0,4,228,88356,4,10,-17.0,-0.19101123595505617,0.0,-3
A-098560,2024-03-31,28,7546,4,2,46,17086,4,3,154,55358,4,8,19.0,0.40425531914893614,4.0,-1
A-098560,2024-04-30,82,24778,8,4,110,32324,12,6,198,66646,12,9,68.0,0.6126126126126126,6.0,-2
A-098560,2024-05-31,12,648,1,1,67,16810,7,7,89,27573,7,9,-15.5,-0.22794117647058823,-2.0,-6
A-098560,2024-07-31,35,16238,3,3,47,16886,4,4,102,33048,10,10,29.0,0.6041666666666666,2.5,-1
A-098560,2024-08-31,11,517,0,1,46,16755,3,4,113,33565,10,10,-6.5,-0.13829787234042554,-1.5,-3
A-0a282f,2024-09-30,32,7248,0,3,230,66832,12,11,506,135868,24,20,-67.0,-0.29004329004329005,-6.0,-8
A-0a282f,2024-11-30,26,10304,0,3,42,13928,0,6,165,52494,6,16,18.0,0.4186046511627907,0.0,-3
A-0a62f5,2024-11-30,33,17787,0,1,33,17787,0,1,78,30828,0,3,33.0,0.9705882352941176,0.0,0
A-0aaf6e,2024-07-31,15,6293,0,2,47,24053,2,6,121,38921,10,11,-1.0,-0.020833333333333332,-1.0,-4
A-0aaf6e,2024-08-31,27,7782,0,3,65,26480,1,8,131,42524,8,12,8.0,0.12121212121212122,-0.5,-5
A-0aaf6e,2024-09-30,8,1856,1,1,50,15931,1,6,95,34445,4,9,-13.0,-0.2549019607843137,1.0,-5
A-0aaf6e,2024-10-31,39,7254,1,3,74,16892,2,6,121,40945,4,10,21.5,0.2866666666666667,0.5,-3
A-0aaf6e,2024-11-30,15,5826,0,2,62,14936,2,6,127,41416,3,11,-8.5,-0.1349206349206349,-1.0,-4
A-0aaf6e,2024-12-31,43,8541,4,4,97,21621,5,8,147,37552,6,11,16.0,0.16326530612244897,3.5,-4
A-0baac2,2024-08-31,36,1692,0,1,96,19212,0,3,192,60531,3,7,6.0,0.061855670103092786,0.0,-2
A-0baac2,2024-10-31,23,6215,1,3,35,6779,1,4,71,19923,2,8,17.0,0.4722222222222222,1.0,-1
A-0cc442,2024-08-31,111,35856,3,4,282,85752,9,11,675,173526,21,18,25.5,0.09010600706713781,0.0,-7
A-0cc442,2024-09-30,52,12732,4,3,172,46152,8,7,426,112390,10,17,-8.0,-0.046242774566473986,2.0,-4
A-0dbdc6,2023-07-31,62,19410,6,3,118,32026,14,6,292,98940,24,12,34.0,0.2857142857142857,2.0,-3
A-0dbdc6,2023-08-31,64,16880,2,3,154,47258,8,8,304,94678,26,13,19.0,0.12258064516129032,-1.0,-5
A-0dbdc6,2023-09-30,28,8304,0,2,154,44594,8,8,250,76882,18,12,-35.0,-0.22580645161290322,-4.0,-6
A-0dbdc6,2023-10-31,22,6622,0,1,114,31806,2,6,232,63832,16,12,-24.0,-0.20869565217391303,-1.0,-5
A-0dbdc6,2023-11-30,44,14984,0,4,69,22447,0,7,146,46076,4,14,31.5,0.45,0.0,-3
A-0dbdc6,2024-01-31,82,26174,5,7,126,41158,5,11,183,57061,6,17,60.0,0.47244094488188976,5.0,-4
A-0dbdc6,2024-02-29,17,4569,0,2,99,30743,5,9,168,53190,5,16,-24.0,-0.24,-2.5,-7
A-0e966d,2024-07-31,12,552,3,1,82,22144,3,7,151,43335,9,12,-23.0,-0.27710843373493976,3.0,-6
A-0e966d,2024-08-31,14,1582,2,2,48,7749,5,4,148,43668,11,11,-3.0,-0.061224489795918366,0.5,-2
A-0e966d,2024-09-30,14,4326,0,1,40,6460,5,3,125,30707,8,10,1.0,0.024390243902439025,-2.5,-2
A-0e966d,2024-10-31,54,10610,0,5,82,16518,2,8,164,38662,5,14,40.0,0.4819277108433735,-1.0,-3
A-0e966d,2024-11-30,26,12965,1,3,94,27901,1,9,142,35650,6,12,-8.0,-0.08421052631578947,1.0,-6
A-0f3e88,2023-09-30,7,3892,2,1,26,10601,4,4,97,33477,6,11,-2.5,-0.09259259259259259,1.0,-3
A-0f3e88,2023-10-31,27,4126,1,3,43,11387,3,6,84,22309,7,10,19.0,0.4318181818181818,0.0,-3
A-0f3e88,2023-11-30,7,623,0,1,41,8641,3,5,80,22800,6,10,-10.0,-0.23809523809523808,-1.5,-4
A-0f3e88,2023-12-31,14,6034,1,1,48,10783,2,5,74,21384,6,8,-3.0,-0.061224489795918366,0.5,-4
A-0f3e88,2024-01-31,6,648,0,1,27,7305,1,3,70,18692,4,8,-4.5,-0.16071428571428573,-0.5,-2
A-0f3e88,2024-02-29,41,14686,2,3,61,21368,3,5,102,30009,6,9,31.0,0.5,1.5,-2
A-0f3e88,2024-03-31,37,11564,0,3,84,26898,2,7,132,37681,4,12,13.5,0.1588235294117647,-1.0,-4
A-0f3e88,2024-04-30,14,6618,0,2,92,32868,2,8,119,40173,3,11,-25.0,-0.26881720430107525,-1.0,-6
A-0f3e88,2024-05-31,17,4557,0,2,68,22739,0,7,129,44107,3,12,-8.5,-0.12318840579710146,0.0,-5
A-0f3e88,2024-06-30,31,6731,1,3,62,17906,1,7,146,44804,3,14,15.5,0.24603174603174602,1.0,-4
A-0f3e88,2024-07-31,42,14853,3,3,90,26141,4,8,182,59009,6,15,18.0,0.1978021978021978,2.5,-5
A-104f1a,2024-10-31,5,1185,0,1,31,10371,1,4,70,17573,2,7,-8.0,-0.25,-0.5,-3
A-104f1a,2024-11-30,38,16033,4,4,43,17218,4,5,82,30538,5,9,35.5,0.8068181818181818,4.0,-1
A-10b8da,2023-07-31,47,10312,1,4,57,12372,1,5,100,20824,3,9,42.0,0.7241379310344828,1.0,-1
A-10b8da,2023-08-31,9,2835,1,1,56,13147,2,5,99,18719,4,9,-14.5,-0.2543859649122807,0.5,-4
A-10b8da,2023-11-30,15,6369,0,2,15,6369,0,2,71,19516,2,7,15.0,0.9375,0.0,0
A-10b8da,2024-01-31,14,448,0,1,29,6817,0,3,38,9652,1,4,6.5,0.21666666666666667,0.0,-2
A-10b8f2,2023-03-31,37,11225,0,3,88,17516,2,7,88,17516,2,7,11.5,0.12921348314606743,-1.0,-4
A-10b8f2,2023-04-30,7,1218,0,1,53,13766,2,5,95,18734,2,8,-16.0,-0.2962962962962963,-1.0,-4
A-10b8f2,2023-05-31,41,12955,6,3,85,25398,6,7,136,31689,8,10,19.0,0.22093023255813954,6.0,-4
A-10b8f2,2023-06-30,23,10059,1,2,71,24232,7,6,159,41748,9,11,-1.0,-0.013888888888888888,-2.0,-4
A-10b8f2,2023-07-31,7,882,0,1,71,23896,7,6,124,37662,9,10,-25.0,-0.3472222222222222,-3.5,-5
A-10b8f2,2023-08-31,44,20412,3,3,74,31353,4,6,159,56751,10,13,29.0,0.38666666666666666,2.5,-3
A-10b8f2,2023-09-30,5,2790,0,1,56,24084,3,5,127,48316,10,11,-20.5,-0.35964912280701755,-1.5,-4
A-10b8f2,2023-10-31,14,2180,1,2,63,25382,4,6,134,49278,11,11,-10.5,-0.1640625,-0.5,-4
A-10b8f2,2023-11-30,23,8716,3,3,42,13686,4,6,116,45039,8,12,13.5,0.313953488372093,2.5,-3
A-10b8f2,2023-12-31,8,4656,1,1,45,15552,5,6,101,39636,8,10,-10.5,-0.22826086956521738,-1.0,-5
A-10b8f2,2024-01-31,10,4930,0,1,41,18302,4,5,104,43684,8,11,-5.5,-0.13095238095238096,-2.0,-4
A-10b8f2,2024-02-29,48,18539,1,5,66,28125,2,7,108,41811,6,12,39.0,0.582089552238806,0.5,-2
A-10b8f2,2024-03-31,37,10056,2,4,95,33525,3,10,140,49077,8,15,8.0,0.08333333333333333,1.5,-6
A-10b8f2,2024-04-30,13,3666,0,1,98,32261,3,10,139,50563,7,14,-29.5,-0.29797979797979796,-1.5,-9
A-118d55,2024-11-30,15,6983,1,2,79,36791,2,7,169,61167,6,15,-17.0,-0.2125,0.5,-5
A-13466a,2023-12-31,2,260,1,1,11,305,1,2,34,3840,3,5,-2.5,-0.20833333333333334,1.0,-1
A-13466a,2024-02-29,34,11671,1,2,36,11931,2,3,45,11976,2,4,33.0,0.8918918918918919,0.5,-1
A-139c3b,2024-12-31,30,9702,2,3,94,32031,2,9,154,53129,3,13,-2.0,-0.021052631578947368,2.0,-6
A-151c9a,2023-07-31,12,2604,0,1,21,7878,0,2,56,17514,1,5,7.5,0.3409090909090909,0.0,-1
A-151c9a,2023-08-31,5,1350,0,1,17,3954,0,2,43,13986,0,5,-1.0,-0.05555555555555555,0.0,-1
A-151c9a,2023-09-30,23,8150,0,2,40,12104,0,4,60,20612,0,6,14.5,0.35365853658536583,0.0,-2
A-151c9a,2023-10-31,34,11628,1,3,62,21128,1,6,83,29006,1,8,20.0,0.31746031746031744,1.0,-3
A-157070,2024-01-31,22,7686,4,3,30,12118,4,4,142,52805,6,12,18.0,0.5806451612903226,4.0,-1
A-157070,2024-02-29,18,5967,2,2,48,18085,6,6,113,41799,7,10,3.0,0.061224489795918366,0.0,-4
A-157070,2024-03-31,14,8103,1,2,54,21756,7,7,116,49517,8,12,-6.0,-0.10909090909090909,-2.0,-5
A-157070,2024-04-30,10,4970,1,1,42,19040,4,5,72,31158,8,9,-6.0,-0.13953488372093023,-0.5,-4
A-157070,2024-05-31,70,21458,0,5,94,34531,2,7,142,52616,8,13,58.0,0.6105263157894737,-1.0,-2
A-157070,2024-06-30,28,6609,0,3,108,33037,1,8,162,54793,8,15,-12.0,-0.11009174311926606,-0.5,-5
A-157070,2024-07-31,85,22591,4,6,183,50658,4,12,225,69698,8,16,36.0,0.1956521739130435,4.0,-6
A-157070,2024-08-31,36,9503,0,3,149,38703,4,11,243,73234,6,17,-20.5,-0.13666666666666666,-2.0,-8
A-157070,2024-09-30,45,4297,2,3,166,36391,6,11,274,69428,7,16,-15.5,-0.09281437125748503,0.0,-8
A-157070,2024-10-31,24,5082,0,3,105,18882,2,8,288,69540,6,17,-16.5,-0.15566037735849056,-1.0,-5
A-157070,2024-11-30,22,2420,0,2,91,11799,2,8,240,50502,6,15,-12.5,-0.1358695652173913,-1.0,-6
A-158f4e,2023-07-31,15,465,3,1,71,19554,13,7,184,42405,15,17,-13.0,-0.18055555555555555,-2.0,-6
A-158f4e,2023-08-31,16,4392,1,2,47,6156,7,5,174,39296,16,16,0.5,0.010416666666666666,-2.0,-3
A-158f4e,2023-10-31,40,12263,2,5,56,16655,3,7,127,36209,16,12,32.0,0.5614035087719298,1.5,-2
A-158f4e,2023-11-30,29,5956,5,4,69,18219,7,9,116,24375,14,13,9.0,0.12857142857142856,4.0,-5
A-158f4e,2023-12-31,12,4104,0,1,81,22323,7,10,112,27180,11,13,-22.5,-0.27439024390243905,-3.5,-9
A-158f4e,2024-03-31,15,6720,0,1,15,6720,0,1,96,29043,7,10,15.0,0.9375,0.0,0
A-158f4e,2024-04-30,17,6926,0,2,32,13646,0,3,73,23706,5,8,9.5,0.2878787878787879,0.0,-1
A-158f4e,2024-05-31,10,700,0,1,42,14346,0,4,54,18450,0,5,-6.0,-0.13953488372093023,0.0,-3
A-1619f8,2024-07-31,56,19041,1,6,69,25801,1,6,116,35574,2,9,49.5,0.7071428571428572,1.0,0
A-1619f8,2024-08-31,25,6417,0,2,81,25458,1,7,131,40751,2,8,-3.0,-0.036585365853658534,-0.5,-5
A-180abf,2023-10-31,35,20055,0,1,265,94660,5,4,760,204010,30,13,-80.0,-0.3007518796992481,-2.5,-3
A-180abf,2023-11-30,175,27070,0,3,440,121730,5,7,690,158280,30,12,42.5,0.0963718820861678,-2.5,-4
A-180abf,2023-12-31,48,8352,0,1,216,46052,0,5,576,133944,20,12,-36.0,-0.16589861751152074,0.0,-4
A-180abf,2024-01-31,72,31788,8,2,260,61796,8,5,472,137524,12,9,-22.0,-0.0842911877394636,8.0,-3
A-180abf,2024-02-29,108,14184,20,3,228,54324,28,6,580,151708,32,12,48.0,0.2096069868995633,16.0,-3
A-180abf,2024-03-31,45,8982,6,2,180,43461,27,7,342,78000,27,10,-22.5,-0.12430939226519337,-4.5,-5
A-186a44,2023-09-30,66,22482,1,5,120,40514,3,9,166,57658,11,13,39.0,0.32231404958677684,0.0,-4
A-186a44,2023-10-31,37,15125,5,4,123,46923,6,11,169,59647,14,13,-6.0,-0.04838709677419355,4.5,-7
A-186a44,2023-11-30,9,5139,0,1,112,42746,6,10,178,64786,14,14,-42.5,-0.37610619469026546,-3.0,-9
A-186a44,2024-02-29,19,10309,1,3,19,10309,1,3,131,53055,7,13,19.0,0.95,1.0,0
A-186a44,2024-03-31,74,20059,0,8,93,30368,1,9,139,50632,6,12,64.5,0.6861702127659575,-0.5,-1
A-186a44,2024-04-30,25,8768,1,3,118,39136,2,12,127,44275,2,13,-21.5,-0.18067226890756302,0.5,-9
A-186a44,2024-05-31,28,3014,0,2,127,31841,1,12,146,42150,2,13,-21.5,-0.16796875,-0.5,-10
A-186a44,2024-06-30,28,9856,1,3,81,21638,2,8,174,52006,3,16,1.5,0.018292682926829267,0.5,-5
A-186a44,2024-07-31,60,14800,1,6,116,27670,2,10,234,66806,4,20,32.0,0.27350427350427353,0.5,-4
A-186a44,2024-08-31,28,5018,1,4,116,29674,3,12,243,61515,4,22,-16.0,-0.13675213675213677,0.0,-8
A-186a44,2024-10-31,58,22719,0,4,86,27737,1,8,202,55407,3,17,44.0,0.5057471264367817,-0.5,-4
A-186a44,2024-11-30,34,12542,4,3,92,35261,4,7,208,64935,7,16,5.0,0.053763440860215055,4.0,-4
A-1986ca,2023-08-31,13,1352,3,1,64,22594,7,6,122,37220,12,11,-12.5,-0.19230769230769232,1.0,-5
A-1986ca,2023-10-31,6,2460,0,1,19,3812,3,2,83,26189,7,8,-0.5,-0.025,-1.5,-1
A-1986ca,2023-11-30,8,2152,0,1,14,4612,0,2,78,27206,7,8,5.0,0.3333333333333333,0.0,-1
A-1986ca,2023-12-31,10,5080,0,1,24,9692,0,3,50,13800,7,6,3.0,0.12,0.0,-2
